"entity";"Behavior";"Genotype";"Treatment";"AVG";"MIN";"MAX"
"CaNA_N";"S/C";"Ts65Dn";"Saline";1.25791;0.933981;1.55376
"CDK5_N";"C/S";"Control";"Memantine";0.287871;0.219311;0.339128
"CDK5_N";"C/S";"Control";"Saline";0.318668;0.21432;0.817402
"CDK5_N";"C/S";"Ts65Dn";"Memantine";0.289623;0.197562;0.365449
"CDK5_N";"C/S";"Ts65Dn";"Saline";0.314515;0.226979;0.385029
"CDK5_N";"S/C";"Control";"Memantine";0.271293;0.207518;0.337207
"CDK5_N";"S/C";"Control";"Saline";0.271424;0.205004;0.321276
"CDK5_N";"S/C";"Ts65Dn";"Memantine";0.276398;0.233868;0.323165
"CDK5_N";"S/C";"Ts65Dn";"Saline";0.309352;0.235799;0.350426
"CREB_N";"C/S";"Control";"Memantine";0.167829;0.122748;0.214573
"CREB_N";"C/S";"Control";"Saline";0.161795;0.115505;0.207195
"CREB_N";"C/S";"Ts65Dn";"Memantine";0.178725;0.138462;0.223768
"CREB_N";"C/S";"Ts65Dn";"Saline";0.161382;0.126194;0.201014
"CREB_N";"S/C";"Control";"Memantine";0.169059;0.113636;0.234316
"CREB_N";"S/C";"Control";"Saline";0.175076;0.143623;0.214148
"CREB_N";"S/C";"Ts65Dn";"Memantine";0.186801;0.137101;0.241372
"CREB_N";"S/C";"Ts65Dn";"Saline";0.187524;0.139058;0.256012
"DSCR1_N";"C/S";"Control";"Memantine";0.515812;0.368849;0.576916
"DSCR1_N";"C/S";"Control";"Saline";0.536143;0.413248;0.89478
"DSCR1_N";"C/S";"Ts65Dn";"Memantine";0.56887;0.422703;0.703107
"DSCR1_N";"C/S";"Ts65Dn";"Saline";0.512019;0.155321;0.651237
"DSCR1_N";"S/C";"Control";"Memantine";0.583425;0.428457;0.733226
"DSCR1_N";"S/C";"Control";"Saline";0.562845;0.424955;0.704689
"DSCR1_N";"S/C";"Ts65Dn";"Memantine";0.627841;0.547887;0.787248
"DSCR1_N";"S/C";"Ts65Dn";"Saline";0.569873;0.424149;0.820563
"DYRK1A_N";"C/S";"Control";"Memantine";0.466589;0.233551;0.784226
"DYRK1A_N";"C/S";"Control";"Saline";0.388821;0.252985;0.778334
"DYRK1A_N";"C/S";"Ts65Dn";"Memantine";0.651586;0.397928;0.99222
"DYRK1A_N";"C/S";"Ts65Dn";"Saline";0.541961;0.324104;0.941415
"DYRK1A_N";"S/C";"Control";"Memantine";0.27259;0.145327;0.380145
"DYRK1A_N";"S/C";"Control";"Saline";0.276907;0.196118;0.363178
"DYRK1A_N";"S/C";"Ts65Dn";"Memantine";0.337688;0.191464;0.940956
"DYRK1A_N";"S/C";"Ts65Dn";"Saline";0.35056;0.212369;0.500643
"EGR1_N";"C/S";"Control";"Memantine";0.154675;0.121468;0.248576
"EGR1_N";"C/S";"Control";"Saline";0.1674;0.137228;0.245938
"EGR1_N";"C/S";"Ts65Dn";"Memantine";0.168834;0.120911;0.254466
"EGR1_N";"C/S";"Ts65Dn";"Saline";0.158174;0.107434;0.214308
"EGR1_N";"S/C";"Control";"Memantine";0.219117;0.159156;0.360692
"EGR1_N";"S/C";"Control";"Saline";0.187267;0.132944;0.279981
"EGR1_N";"S/C";"Ts65Dn";"Memantine";0.191512;0.139862;0.281477
"EGR1_N";"S/C";"Ts65Dn";"Saline";0.187873;0.139367;0.278048
"ELK_N";"C/S";"Control";"Memantine";1.18545;0.676088;2.00744
"ELK_N";"C/S";"Control";"Saline";1.27535;0.497695;2.80295
"ELK_N";"C/S";"Ts65Dn";"Memantine";1.11381;0.597846;2.10784
"ELK_N";"C/S";"Ts65Dn";"Saline";1.27049;0.820059;2.52235
"ELK_N";"S/C";"Control";"Memantine";1.03251;0.702145;1.49525
"ELK_N";"S/C";"Control";"Saline";1.28455;0.851379;2.57136
"ELK_N";"S/C";"Ts65Dn";"Memantine";1.19751;0.798563;1.75318
"ELK_N";"S/C";"Ts65Dn";"Saline";1.18239;0.604554;1.90435
"ERBB4_N";"C/S";"Control";"Memantine";0.150158;0.100217;0.191245
"ERBB4_N";"C/S";"Control";"Saline";0.151881;0.105871;0.191176
"ERBB4_N";"C/S";"Ts65Dn";"Memantine";0.146847;0.128316;0.164783
"ERBB4_N";"C/S";"Ts65Dn";"Saline";0.151469;0.110327;0.179794
"ERBB4_N";"S/C";"Control";"Memantine";0.15419;0.129689;0.178808
"ERBB4_N";"S/C";"Control";"Saline";0.157366;0.135315;0.173598
"ERBB4_N";"S/C";"Ts65Dn";"Memantine";0.173454;0.154946;0.208698
"ERBB4_N";"S/C";"Ts65Dn";"Saline";0.160871;0.135557;0.190668
"ERK_N";"C/S";"Control";"Memantine";2.52977;1.57189;3.72745
"ERK_N";"C/S";"Control";"Saline";2.87204;1.72378;5.1984
"ERK_N";"C/S";"Ts65Dn";"Memantine";2.32522;1.16951;4.02942
"ERK_N";"C/S";"Ts65Dn";"Saline";2.68477;1.55141;4.44795
"ERK_N";"S/C";"Control";"Memantine";1.98017;1.28409;2.7379
"ERK_N";"S/C";"Control";"Saline";2.48319;1.47005;3.73692
"ERK_N";"S/C";"Ts65Dn";"Memantine";2.49272;1.61124;3.71659
"ERK_N";"S/C";"Ts65Dn";"Saline";2.42845;1.26492;3.92191
"GFAP_N";"C/S";"Control";"Memantine";0.115157;0.0897126;0.134583
"GFAP_N";"C/S";"Control";"Saline";0.125034;0.104048;0.149008
"GFAP_N";"C/S";"Ts65Dn";"Memantine";0.117989;0.0988572;0.139619
"GFAP_N";"C/S";"Ts65Dn";"Saline";0.124697;0.106769;0.150976
"GFAP_N";"S/C";"Control";"Memantine";0.112565;0.091229;0.139045
"GFAP_N";"S/C";"Control";"Saline";0.110511;0.088216;0.128524
"GFAP_N";"S/C";"Ts65Dn";"Memantine";0.113827;0.0878304;0.136827
"GFAP_N";"S/C";"Ts65Dn";"Saline";0.123234;0.106914;0.149265
"GluR3_N";"C/S";"Control";"Memantine";0.228315;0.128208;0.292461
"GluR3_N";"C/S";"Control";"Saline";0.243823;0.166125;0.308793
"GluR3_N";"C/S";"Ts65Dn";"Memantine";0.222821;0.164557;0.278919
"GluR3_N";"C/S";"Ts65Dn";"Saline";0.204854;0.146085;0.263458
"GluR3_N";"S/C";"Control";"Memantine";0.257799;0.183058;0.331016
"GluR3_N";"S/C";"Control";"Saline";0.218386;0.176998;0.266243
"GluR3_N";"S/C";"Ts65Dn";"Memantine";0.203393;0.171841;0.241615
"GluR3_N";"S/C";"Ts65Dn";"Saline";0.214549;0.164362;0.266742
"GluR4_N";"C/S";"Control";"Memantine";0.122642;0.0725797;0.153629
"GluR4_N";"C/S";"Control";"Saline";0.133552;0.0868948;0.188914
"GluR4_N";"C/S";"Ts65Dn";"Memantine";0.124499;0.0851987;0.181804
"GluR4_N";"C/S";"Ts65Dn";"Saline";0.120514;0.085979;0.165476
"GluR4_N";"S/C";"Control";"Memantine";0.135313;0.0855473;0.177394
"GluR4_N";"S/C";"Control";"Saline";0.115139;0.0872217;0.144323
"GluR4_N";"S/C";"Ts65Dn";"Memantine";0.114433;0.0915863;0.134941
"GluR4_N";"S/C";"Ts65Dn";"Saline";0.138179;0.105126;0.162198
"GSK3B_N";"C/S";"Control";"Memantine";1.30855;0.92042;1.57143
"GSK3B_N";"C/S";"Control";"Saline";1.26367;0.784581;1.84731
"GSK3B_N";"C/S";"Ts65Dn";"Memantine";1.33227;0.82244;1.87175
"GSK3B_N";"C/S";"Ts65Dn";"Saline";1.26966;0.961198;1.50029
"GSK3B_N";"S/C";"Control";"Memantine";0.969777;0.613636;1.28442
"GSK3B_N";"S/C";"Control";"Saline";1.04067;0.724948;1.28392
"GSK3B_N";"S/C";"Ts65Dn";"Memantine";1.09184;0.863197;1.35432
"GSK3B_N";"S/C";"Ts65Dn";"Saline";1.11464;0.725187;1.38273
"H3AcK18_N";"C/S";"Control";"Memantine";0.133037;0.0796909;0.184016
"H3AcK18_N";"C/S";"Control";"Saline";0.137791;0.0982609;0.224738
"H3AcK18_N";"C/S";"Ts65Dn";"Memantine";0.150623;0.0905307;0.226245
"H3AcK18_N";"C/S";"Ts65Dn";"Saline";0.150222;0.0823634;0.236764
"H3AcK18_N";"S/C";"Control";"Memantine";0.160582;0.114166;0.252662
"H3AcK18_N";"S/C";"Control";"Saline";0.136921;0.0963737;0.192439
"H3AcK18_N";"S/C";"Ts65Dn";"Memantine";0.238234;0.115987;0.479763
"H3AcK18_N";"S/C";"Ts65Dn";"Saline";0.195492;0.133888;0.335936
"H3MeK4_N";"C/S";"Control";"Memantine";0.160011;0.101787;0.225285
"H3MeK4_N";"C/S";"Control";"Saline";0.169657;0.11527;0.273764
"H3MeK4_N";"C/S";"Ts65Dn";"Memantine";0.186309;0.117812;0.278946
"H3MeK4_N";"C/S";"Ts65Dn";"Saline";0.179176;0.104929;0.281511
"H3MeK4_N";"S/C";"Control";"Memantine";0.213392;0.146804;0.372005
"H3MeK4_N";"S/C";"Control";"Saline";0.199548;0.152565;0.312681
"H3MeK4_N";"S/C";"Ts65Dn";"Memantine";0.231957;0.150036;0.333271
"H3MeK4_N";"S/C";"Ts65Dn";"Saline";0.220451;0.159072;0.365353
"IL1B_N";"C/S";"Control";"Memantine";0.486132;0.352934;0.553775
"IL1B_N";"C/S";"Control";"Saline";0.473778;0.313031;0.584705
"IL1B_N";"C/S";"Ts65Dn";"Memantine";0.485492;0.357626;0.594031
"IL1B_N";"C/S";"Ts65Dn";"Saline";0.477889;0.386314;0.542513
"IL1B_N";"S/C";"Control";"Memantine";0.60166;0.501259;0.700606
"IL1B_N";"S/C";"Control";"Saline";0.570333;0.457302;0.731098
"IL1B_N";"S/C";"Ts65Dn";"Memantine";0.600332;0.514329;0.783115
"IL1B_N";"S/C";"Ts65Dn";"Saline";0.521839;0.413681;0.631188
"ITSN1_N";"C/S";"Control";"Memantine";0.635927;0.359422;1.06376
"ITSN1_N";"C/S";"Control";"Saline";0.594368;0.390374;1.07912
"ITSN1_N";"C/S";"Ts65Dn";"Memantine";0.838993;0.553484;1.3364
"ITSN1_N";"C/S";"Ts65Dn";"Saline";0.783177;0.521628;1.16542
"ITSN1_N";"S/C";"Control";"Memantine";0.438421;0.245359;0.60263
"ITSN1_N";"S/C";"Control";"Saline";0.464995;0.348655;0.613321
"ITSN1_N";"S/C";"Ts65Dn";"Memantine";0.591841;0.443252;0.786222
"ITSN1_N";"S/C";"Ts65Dn";"Saline";0.572597;0.364058;0.836221
"JNK_N";"C/S";"Control";"Memantine";0.241293;0.186186;0.298846
"JNK_N";"C/S";"Control";"Saline";0.227801;0.153731;0.310928
"JNK_N";"C/S";"Ts65Dn";"Memantine";0.24578;0.163572;0.321985
"JNK_N";"C/S";"Ts65Dn";"Saline";0.228075;0.185686;0.261388
"JNK_N";"S/C";"Control";"Memantine";0.214564;0.153969;0.308594
"JNK_N";"S/C";"Control";"Saline";0.242407;0.196267;0.286696
"JNK_N";"S/C";"Ts65Dn";"Memantine";0.244161;0.181253;0.302527
"JNK_N";"S/C";"Ts65Dn";"Saline";0.240379;0.149487;0.307061
"MEK_N";"C/S";"Control";"Memantine";0.261968;0.175425;0.35086
"MEK_N";"C/S";"Control";"Saline";0.262806;0.147201;0.390703
"MEK_N";"C/S";"Ts65Dn";"Memantine";0.264061;0.165243;0.358555
"MEK_N";"C/S";"Ts65Dn";"Saline";0.258474;0.176456;0.355919
"MEK_N";"S/C";"Control";"Memantine";0.245767;0.163252;0.307767
"MEK_N";"S/C";"Control";"Saline";0.277102;0.210008;0.370058
"MEK_N";"S/C";"Ts65Dn";"Memantine";0.284494;0.230612;0.382893
"MEK_N";"S/C";"Ts65Dn";"Saline";0.290718;0.176082;0.38335
"MTOR_N";"C/S";"Control";"Memantine";0.441502;0.37848;0.499918
"MTOR_N";"C/S";"Control";"Saline";0.436138;0.30428;0.546659
"MTOR_N";"C/S";"Ts65Dn";"Memantine";0.416626;0.332892;0.550921
"MTOR_N";"C/S";"Ts65Dn";"Saline";0.37878;0.201143;0.47479
"MTOR_N";"S/C";"Control";"Memantine";0.459349;0.342029;0.60722
"MTOR_N";"S/C";"Control";"Saline";0.490922;0.337589;0.676748
"MTOR_N";"S/C";"Ts65Dn";"Memantine";0.466323;0.377549;0.547266
"MTOR_N";"S/C";"Ts65Dn";"Saline";0.452486;0.333175;0.61345
"nNOS_N";"C/S";"Control";"Memantine";0.174363;0.0997344;0.210988
"nNOS_N";"C/S";"Control";"Saline";0.170478;0.118819;0.260739
"nNOS_N";"C/S";"Ts65Dn";"Memantine";0.178523;0.133301;0.228136
"nNOS_N";"C/S";"Ts65Dn";"Saline";0.164557;0.107025;0.245775
"nNOS_N";"S/C";"Control";"Memantine";0.187155;0.150372;0.239411
"nNOS_N";"S/C";"Control";"Saline";0.195949;0.156668;0.238946
"nNOS_N";"S/C";"Ts65Dn";"Memantine";0.203454;0.172264;0.229531
"nNOS_N";"S/C";"Ts65Dn";"Saline";0.193077;0.145183;0.235867
"NR1_N";"C/S";"Control";"Memantine";2.309;1.71105;2.96816
"NR1_N";"C/S";"Control";"Saline";2.40381;1.54819;3.75764
"NR1_N";"C/S";"Ts65Dn";"Memantine";2.2612;1.50968;3.10086
"NR1_N";"C/S";"Ts65Dn";"Saline";2.20648;1.73989;2.99577
"NR1_N";"S/C";"Control";"Memantine";2.07858;1.40333;2.65905
"NR1_N";"S/C";"Control";"Saline";2.50229;1.8095;3.16424
"NR1_N";"S/C";"Ts65Dn";"Memantine";2.39159;1.78766;2.89264
"NR1_N";"S/C";"Ts65Dn";"Saline";2.22928;1.33083;2.97829
"NR2A_N";"C/S";"Control";"Memantine";3.99149;2.52805;5.99015
"NR2A_N";"C/S";"Control";"Saline";4.15544;2.65455;8.48255
"NR2A_N";"C/S";"Ts65Dn";"Memantine";3.74838;2.05329;5.78303
"NR2A_N";"C/S";"Ts65Dn";"Saline";3.52372;1.99114;4.76919
"NR2A_N";"S/C";"Control";"Memantine";3.42032;2.29097;5.34773
"NR2A_N";"S/C";"Control";"Saline";3.99327;2.51756;5.9197
"NR2A_N";"S/C";"Ts65Dn";"Memantine";4.06451;2.58226;6.49266
"NR2A_N";"S/C";"Ts65Dn";"Saline";3.5797;1.73754;6.20146
"NR2B_N";"C/S";"Control";"Memantine";0.542174;0.476278;0.640232
"NR2B_N";"C/S";"Control";"Saline";0.540941;0.400935;0.826481
"NR2B_N";"C/S";"Ts65Dn";"Memantine";0.526986;0.40636;0.63786
"NR2B_N";"C/S";"Ts65Dn";"Saline";0.453502;0.184785;0.680683
"NR2B_N";"S/C";"Control";"Memantine";0.561293;0.423496;0.737782
"NR2B_N";"S/C";"Control";"Saline";0.609504;0.440812;0.97202
"NR2B_N";"S/C";"Ts65Dn";"Memantine";0.610158;0.474047;0.884357
"NR2B_N";"S/C";"Ts65Dn";"Saline";0.564756;0.400037;0.765034
"NUMB_N";"C/S";"Control";"Memantine";0.17329;0.122779;0.24212
"NUMB_N";"C/S";"Control";"Saline";0.204726;0.143325;0.316575
"NUMB_N";"C/S";"Ts65Dn";"Memantine";0.1777;0.129331;0.231001
"NUMB_N";"C/S";"Ts65Dn";"Saline";0.213516;0.153629;0.280568
"NUMB_N";"S/C";"Control";"Memantine";0.160704;0.118491;0.212932
"NUMB_N";"S/C";"Control";"Saline";0.172342;0.117999;0.223625
"NUMB_N";"S/C";"Ts65Dn";"Memantine";0.176407;0.129718;0.223813
"NUMB_N";"S/C";"Ts65Dn";"Saline";0.189734;0.126064;0.248697
"P3525_N";"C/S";"Control";"Memantine";0.292873;0.207438;0.365119
"P3525_N";"C/S";"Control";"Saline";0.28958;0.215752;0.35897
"P3525_N";"C/S";"Ts65Dn";"Memantine";0.278839;0.232125;0.328173
"P3525_N";"C/S";"Ts65Dn";"Saline";0.293084;0.21553;0.357977
"P3525_N";"S/C";"Control";"Memantine";0.273798;0.233818;0.330185
"P3525_N";"S/C";"Control";"Saline";0.282909;0.24477;0.354123
"P3525_N";"S/C";"Ts65Dn";"Memantine";0.29643;0.255335;0.343251
"P3525_N";"S/C";"Ts65Dn";"Saline";0.321076;0.262898;0.365539
"P38_N";"C/S";"Control";"Memantine";0.385032;0.294519;0.475771
"P38_N";"C/S";"Control";"Saline";0.361078;0.26559;0.451146
"P38_N";"C/S";"Ts65Dn";"Memantine";0.365921;0.289416;0.53693
"P38_N";"C/S";"Ts65Dn";"Saline";0.3001;0.22788;0.378262
"P38_N";"S/C";"Control";"Memantine";0.495466;0.390525;0.721936
"P38_N";"S/C";"Control";"Saline";0.470423;0.306433;0.702114
"P38_N";"S/C";"Ts65Dn";"Memantine";0.454612;0.340013;0.582503
"P38_N";"S/C";"Ts65Dn";"Saline";0.41975;0.308446;0.560567
"P70S6_N";"C/S";"Control";"Memantine";0.825618;0.34412;1.13468
"P70S6_N";"C/S";"Control";"Saline";0.991128;0.612931;1.67995
"P70S6_N";"C/S";"Ts65Dn";"Memantine";0.917523;0.599935;1.30008
"P70S6_N";"C/S";"Ts65Dn";"Saline";1.02431;0.686704;1.43482
"P70S6_N";"S/C";"Control";"Memantine";1.01747;0.767238;1.38108
"P70S6_N";"S/C";"Control";"Saline";0.915511;0.644921;1.27715
"P70S6_N";"S/C";"Ts65Dn";"Memantine";1.02506;0.735616;1.42119
"P70S6_N";"S/C";"Ts65Dn";"Saline";0.925287;0.632263;1.44017
"pAKT_N";"C/S";"Control";"Memantine";0.217631;0.173181;0.271232
"pAKT_N";"C/S";"Control";"Saline";0.195357;0.121;0.248833
"pAKT_N";"C/S";"Ts65Dn";"Memantine";0.21765;0.152432;0.281646
"pAKT_N";"C/S";"Ts65Dn";"Saline";0.203219;0.165286;0.259953
"pAKT_N";"S/C";"Control";"Memantine";0.223571;0.164693;0.314375
"pAKT_N";"S/C";"Control";"Saline";0.237634;0.184988;0.313444
"pAKT_N";"S/C";"Ts65Dn";"Memantine";0.261413;0.209581;0.33833
"pAKT_N";"S/C";"Ts65Dn";"Saline";0.243443;0.16235;0.353783
"pBRAF_N";"C/S";"Control";"Memantine";0.173349;0.136449;0.217034
"pBRAF_N";"C/S";"Control";"Saline";0.159381;0.107649;0.206712
"pBRAF_N";"C/S";"Ts65Dn";"Memantine";0.177181;0.130058;0.223585
"pBRAF_N";"C/S";"Ts65Dn";"Saline";0.160402;0.137561;0.209203
"pBRAF_N";"S/C";"Control";"Memantine";0.176853;0.122759;0.317066
"pBRAF_N";"S/C";"Control";"Saline";0.187094;0.154263;0.250504
"pBRAF_N";"S/C";"Ts65Dn";"Memantine";0.191204;0.151487;0.241664
"pBRAF_N";"S/C";"Ts65Dn";"Saline";0.182615;0.132654;0.23913
"pCAMKII_N";"C/S";"Control";"Memantine";3.27494;1.44424;5.25286
"pCAMKII_N";"C/S";"Control";"Saline";2.61518;1.3699;3.655
"pCAMKII_N";"C/S";"Ts65Dn";"Memantine";3.58685;1.3938;6.40485
"pCAMKII_N";"C/S";"Ts65Dn";"Saline";2.48016;1.344;4.78148
"pCAMKII_N";"S/C";"Control";"Memantine";4.90486;2.83397;6.94729
"pCAMKII_N";"S/C";"Control";"Saline";3.23144;2.14649;4.38302
"pCAMKII_N";"S/C";"Ts65Dn";"Memantine";4.73383;3.23057;6.46381
"pCAMKII_N";"S/C";"Ts65Dn";"Saline";4.1131;1.65496;7.10464
"pCASP9_N";"C/S";"Control";"Memantine";1.44076;0.853176;1.71636
"pCASP9_N";"C/S";"Control";"Saline";1.68614;1.20772;2.58622
